deck_name, decks, price, percentage
Esper Tempo,48,$ 555,25.13%
Mono-Red Aggro,18,$ 92,9.42%
Izzet Phoenix,18,$ 247,9.42%
White Weenie,16,$ 102,8.38%
Gruul Midrange,14,$ 198,7.33%
Bant Nexus,11,$ 417,5.76%
Simic Nexus,9,$ 286,4.71%
Bant Ramp,9,$ 409,4.71%
Grixis Control,9,$ 494,4.71%
Sultai Midrange,7,$ 382,3.66%
Mono-Blue Tempo,6,$ 40,3.14%
Simic Ramp,4,$ 289,2.09%
Creeping Zombies,-,$ 86,-
Hydra Stompy,-,$ 86,-
Rakdos Aristocrats,-,$ 68,-
Narset's Amnesia,-,$ 96,-
Simic Arkbow,-,$ 86,-
Izzet Saheeli,-,$ 52,-
Banefire Elves,-,$ 144,-
Goblin Calamity,-,$ 50,-
